Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
Radial Distance from Sun,80,0.0949512276215294,0.00491061089516946,1.0000000000000002,IBS_N
Electronic Box Temperature,80,0.67717567906337,0.03502162479464739,1.0000000000000002,IBS_N
Outboard Sensor Temperature,80,0.3254152288122084,0.016829561956047456,1.0000000000000002,IBS_N
Inboard Sensor Temperature,80,0.5162865698564538,0.02670089179965396,1.0000000000000002,IBS_N
Solar Array's Angle,80,8.067659581967767,0.41723670176904964,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,80,3.7759691972188656,0.19528252497793852,1.0000000000000002,IBS_N
High Gain Antenna Elevation,80,4.315199876701554,0.22317002170659503,1.0000000000000002,IBS_N
Heater Dutycycle,80,0.2205004861684627,0.011403666038789602,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,80,0.3428689093413848,0.017732217307792977,1.0000000000000002,IBS_N
2.5V_PCU_ELB,90,0.4581092447478783,0.012616399442387462,1.0,IBS_N
Radial Distance from Sun,90,0.0514368917169726,0.0014165799520883015,1.0,IBS_N
Electronic Box Temperature,90,0.6611916304915807,0.018209319750436822,1.0,IBS_N
Outboard Sensor Temperature,90,0.5122186704727986,0.014106581394335403,1.0,IBS_N
Inboard Sensor Temperature,90,0.7523360273990934,0.0207194505358427,1.0,IBS_N
Solar Array's Angle,90,13.713280547650058,0.37766586690450393,1.0,IBS_N
High Gain Antenna Azimuth,90,13.922600567770514,0.3834305726278771,1.0,IBS_N
High Gain Antenna Elevation,90,4.428537750898406,0.12196261448898701,1.0,IBS_N
Heater Dutycycle,90,0.0963424627143325,0.0026532863215547866,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,90,1.7145629426981952,0.04721932858198645,1.0,IBS_N
2.5V_PCU_ELB,100,0.3466405258283123,0.004926962348493104,1.0000000000000002,IBS_N
Radial Distance from Sun,100,0.0158376946138471,0.00022510848915572283,1.0000000000000002,IBS_N
Electronic Box Temperature,100,0.0177335921201454,0.0002520557585432618,1.0000000000000002,IBS_N
Outboard Sensor Temperature,100,0.7036773209310274,0.010001691687465413,1.0000000000000002,IBS_N
Inboard Sensor Temperature,100,0.8241373423927273,0.011713845766456229,1.0000000000000002,IBS_N
Solar Array's Angle,100,41.64664085559995,0.591942996123843,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,100,21.284791382589063,0.30253059848370867,1.0000000000000002,IBS_N
High Gain Antenna Elevation,100,4.486179761736105,0.06376415083559236,1.0000000000000002,IBS_N
Heater Dutycycle,100,0.3534546339157903,0.00502381442285845,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,100,0.6767369757883656,0.009618776083884064,1.0000000000000002,IBS_N
2.5V_PCU_ELB,110,0.4161867165188121,0.01702508066755591,1.0,IBS_N
Radial Distance from Sun,110,0.0101527963390532,0.0004153236271437653,1.0,IBS_N
Electronic Box Temperature,110,0.4596863579419367,0.018804534155243035,1.0,IBS_N
Outboard Sensor Temperature,110,0.4917366557830235,0.020115625750688107,1.0,IBS_N
Inboard Sensor Temperature,110,1.933484995074698,0.07909367767908507,1.0,IBS_N
Solar Array's Angle,110,8.44423511298017,0.3454309766943203,1.0,IBS_N
High Gain Antenna Azimuth,110,7.152864952764285,0.29260449214611334,1.0,IBS_N
High Gain Antenna Elevation,110,3.765712118046029,0.15404516779580724,1.0,IBS_N
Heater Dutycycle,110,0.2517884134589342,0.010299987674163336,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,110,1.5196581694670284,0.0621651338098799,1.0,IBS_N
2.5V_PCU_ELB,120,1.9097993995838696,0.024085702360827934,0.9999999999999999,IBS_N
Radial Distance from Sun,120,0.0008063534625256,1.0169439523463268e-05,0.9999999999999999,IBS_N
Electronic Box Temperature,120,0.5163142478551668,0.006511569383257714,0.9999999999999999,IBS_N
Outboard Sensor Temperature,120,0.4092218788711752,0.005160958986675532,0.9999999999999999,IBS_N
Inboard Sensor Temperature,120,0.8275040665640447,0.01043618332583995,0.9999999999999999,IBS_N
Solar Array's Angle,120,54.13145096937226,0.6826863683652522,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,120,17.50954975867192,0.22082413684461838,0.9999999999999999,IBS_N
High Gain Antenna Elevation,120,2.289419463724036,0.028873333918922852,0.9999999999999999,IBS_N
Heater Dutycycle,120,0.2798698943177873,0.0035296183336131406,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,120,1.4178932434340072,0.01788195904146879,0.9999999999999999,IBS_N
2.5V_PCU_ELB,130,1.6341893135895038,0.05261623258281227,1.0,IBS_N
Radial Distance from Sun,130,0.0549052669722746,0.0017677929191013382,1.0,IBS_N
Electronic Box Temperature,130,0.4865988976057077,0.015667095946628646,1.0,IBS_N
Outboard Sensor Temperature,130,0.3275352558825301,0.010545700586385735,1.0,IBS_N
Inboard Sensor Temperature,130,0.1115853118018488,0.003592728620710161,1.0,IBS_N
Solar Array's Angle,130,14.601827976684342,0.47013719314311214,1.0,IBS_N
High Gain Antenna Azimuth,130,6.606161305892303,0.2126995427395853,1.0,IBS_N
High Gain Antenna Elevation,130,5.6891278613971465,0.1831736826690703,1.0,IBS_N
Heater Dutycycle,130,0.0639962820834731,0.002060497663604909,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,130,1.482725597131234,0.04773953312898919,1.0,IBS_N
2.5V_PCU_ELB,140,0.3576293354006599,0.007176439631965107,1.0,IBS_N
Radial Distance from Sun,140,0.113917681896053,0.0022859516438284897,1.0,IBS_N
Electronic Box Temperature,140,0.4903020562638587,0.009838742966272473,1.0,IBS_N
Outboard Sensor Temperature,140,0.5253960637172552,0.010542963792147622,1.0,IBS_N
Inboard Sensor Temperature,140,0.1479941801198559,0.0029697544199567827,1.0,IBS_N
Solar Array's Angle,140,36.63397358619678,0.7351228601697656,1.0,IBS_N
High Gain Antenna Azimuth,140,7.868220181321642,0.1578891929517036,1.0,IBS_N
High Gain Antenna Elevation,140,1.3820789598088503,0.027733760180958137,1.0,IBS_N
Heater Dutycycle,140,0.1392672655560064,0.0027946340667267568,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,140,2.175031568266218,0.04364570017667545,1.0,IBS_N
2.5V_PCU_ELB,150,0.2663295373080348,0.007409865525092278,1.0000000000000002,IBS_N
Radial Distance from Sun,150,0.1636280115994204,0.0045524862707496845,1.0000000000000002,IBS_N
Electronic Box Temperature,150,0.0130483962694178,0.0003630346924782673,1.0000000000000002,IBS_N
Outboard Sensor Temperature,150,0.5292284769086487,0.014724284379343543,1.0000000000000002,IBS_N
Inboard Sensor Temperature,150,0.2625356702705817,0.0073043119133834366,1.0000000000000002,IBS_N
Solar Array's Angle,150,17.51207968097304,0.48722404886931164,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,150,4.550938083649078,0.12661697066615027,1.0000000000000002,IBS_N
High Gain Antenna Elevation,150,10.869480008124032,0.30241251496909416,1.0000000000000002,IBS_N
Heater Dutycycle,150,0.3677179023515267,0.01023070980085251,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,150,1.4075743783618382,0.03916177291354428,1.0000000000000002,IBS_N
2.5V_PCU_ELB,160,2.54715967922595,0.04159430231803355,1.0,IBS_N
Radial Distance from Sun,160,0.1990705443720302,0.003250758275092509,1.0,IBS_N
Electronic Box Temperature,160,0.4054834850084552,0.006621415531175815,1.0,IBS_N
Outboard Sensor Temperature,160,0.3040436925706166,0.0049649361874778844,1.0,IBS_N
Inboard Sensor Temperature,160,1.203834912024471,0.019658238814052535,1.0,IBS_N
Solar Array's Angle,160,36.15764907887187,0.5904428368436628,1.0,IBS_N
High Gain Antenna Azimuth,160,7.120614951532733,0.11627736313506928,1.0,IBS_N
High Gain Antenna Elevation,160,9.357626345731996,0.1528070432246527,1.0,IBS_N
Heater Dutycycle,160,0.0085998397510651,0.00014043263067086006,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,160,3.934104849320277,0.06424267304011207,1.0,IBS_N
2.5V_PCU_ELB,170,0.8756401302044491,0.012564821544879434,1.0000000000000002,IBS_N
Radial Distance from Sun,170,0.2287476985887779,0.003282368992041041,1.0000000000000002,IBS_N
Electronic Box Temperature,170,0.4836881992329145,0.006940586317471155,1.0000000000000002,IBS_N
Outboard Sensor Temperature,170,0.410453049712883,0.0058897133015017875,1.0000000000000002,IBS_N
Inboard Sensor Temperature,170,0.4560177974177018,0.006543535464169035,1.0000000000000002,IBS_N
Solar Array's Angle,170,47.87075448950253,0.6869117422004137,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,170,6.468037616062079,0.09281180200410885,1.0000000000000002,IBS_N
High Gain Antenna Elevation,170,10.872829522981322,0.156017475594979,1.0000000000000002,IBS_N
Heater Dutycycle,170,0.0665981910732804,0.0009556373185547943,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,170,1.9570515869091345,0.028082317261881286,1.0000000000000002,IBS_N
2.5V_PCU_ELB,180,0.3057702176179984,0.014816106143939472,1.0,IBS_N
Radial Distance from Sun,180,0.245524073877194,0.011896877229559254,1.0,IBS_N
Electronic Box Temperature,180,0.4152672649152721,0.020121789241013193,1.0,IBS_N
Outboard Sensor Temperature,180,0.3313095050884281,0.016053613174382836,1.0,IBS_N
Inboard Sensor Temperature,180,0.2526043590560973,0.012239952685230506,1.0,IBS_N
Solar Array's Angle,180,1.88260161280218,0.09122152425216085,1.0,IBS_N
High Gain Antenna Azimuth,180,7.525965344893398,0.3646709030532708,1.0,IBS_N
High Gain Antenna Elevation,180,8.023010858706947,0.38875526008581457,1.0,IBS_N
Heater Dutycycle,180,0.5142778680070876,0.02491935133261126,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,180,1.1413597057936429,0.055304622802017284,1.0,IBS_N
2.5V_PCU_ELB,190,0.864741343672266,0.013309277787090562,1.0,IBS_N
Radial Distance from Sun,190,0.2456942696962932,0.0037814929400711494,1.0,IBS_N
Electronic Box Temperature,190,0.035181483996216,0.0005414800008049357,1.0,IBS_N
Outboard Sensor Temperature,190,0.0949443786064261,0.0014612937364939255,1.0,IBS_N
Inboard Sensor Temperature,190,0.6545920409398451,0.010074859232576292,1.0,IBS_N
Solar Array's Angle,190,37.26225343561019,0.573505228559377,1.0,IBS_N
High Gain Antenna Azimuth,190,15.680298585030169,0.2413362691396697,1.0,IBS_N
High Gain Antenna Elevation,190,8.432463053775026,0.12978446564780485,1.0,IBS_N
Heater Dutycycle,190,0.1224293427745545,0.001884316211085461,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,190,1.580224596587236,0.024321316745026092,1.0,IBS_N
2.5V_PCU_ELB,200,1.1642416170003564,0.017441771816690585,1.0000000000000002,IBS_N
Radial Distance from Sun,200,0.2676731389722898,0.0040100729464050385,1.0000000000000002,IBS_N
Electronic Box Temperature,200,0.0562997172450593,0.0008434390312060314,1.0000000000000002,IBS_N
Outboard Sensor Temperature,200,0.3514222605076437,0.005264737825531656,1.0000000000000002,IBS_N
Inboard Sensor Temperature,200,1.1427402836623417,0.017119655389687665,1.0000000000000002,IBS_N
Solar Array's Angle,200,43.90903544197506,0.6578113732466532,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,200,6.884139938817274,0.10313288600383404,1.0000000000000002,IBS_N
High Gain Antenna Elevation,200,12.232684644483374,0.18326066613589237,1.0000000000000002,IBS_N
Heater Dutycycle,200,0.2272380757288694,0.003404305950802978,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,200,0.5147168481289944,0.0077110916532967,1.0000000000000002,IBS_N
2.5V_PCU_ELB,210,1.683916577770366,0.0729065765650876,1.0,IBS_N
Radial Distance from Sun,210,0.2550514211423562,0.011042664588628669,1.0,IBS_N
Electronic Box Temperature,210,0.3770151360273092,0.0163231856279761,1.0,IBS_N
Outboard Sensor Temperature,210,0.4947833206164,0.02142205767426508,1.0,IBS_N
Inboard Sensor Temperature,210,0.4549311572248493,0.019696624930181306,1.0,IBS_N
Solar Array's Angle,210,1.9324886485089543,0.08366871225903087,1.0,IBS_N
High Gain Antenna Azimuth,210,3.0206580223477686,0.13078191538136616,1.0,IBS_N
High Gain Antenna Elevation,210,13.223009218030988,0.5725012430554628,1.0,IBS_N
Heater Dutycycle,210,0.2066099800638367,0.008945351883512065,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,210,1.4484457013097134,0.0627116680344894,1.0,IBS_N
2.5V_PCU_ELB,220,2.5497772320346983,0.045208821975765735,0.9999999999999999,IBS_N
Radial Distance from Sun,220,0.2509689274982121,0.004449804250413484,0.9999999999999999,IBS_N
Electronic Box Temperature,220,0.7814001117784781,0.013854613689936632,0.9999999999999999,IBS_N
Outboard Sensor Temperature,220,0.675234429061218,0.011972243187290725,0.9999999999999999,IBS_N
Inboard Sensor Temperature,220,1.399698879144018,0.02481735919980935,0.9999999999999999,IBS_N
Solar Array's Angle,220,29.961052704568367,0.5312244069441644,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,220,4.8919473467051295,0.08673666622065207,0.9999999999999999,IBS_N
High Gain Antenna Elevation,220,14.793403830063744,0.2622944278293962,0.9999999999999999,IBS_N
Heater Dutycycle,220,0.1269122464232963,0.0022502174240989674,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,220,0.9695970508068807,0.017191439278472324,0.9999999999999999,IBS_N
2.5V_PCU_ELB,230,1.1859318519878277,0.03852311750028699,0.9999999999999999,IBS_N
Radial Distance from Sun,230,0.2359725722497795,0.007665195190082912,0.9999999999999999,IBS_N
Electronic Box Temperature,230,0.764485587942133,0.024833103253114282,0.9999999999999999,IBS_N
Outboard Sensor Temperature,230,0.4869024679785103,0.015816255338513663,0.9999999999999999,IBS_N
Inboard Sensor Temperature,230,2.810218124678865,0.09128548393145884,0.9999999999999999,IBS_N
Solar Array's Angle,230,6.832546125869023,0.22194443701954353,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,230,0.7603156928035757,0.0246976508153395,0.9999999999999999,IBS_N
High Gain Antenna Elevation,230,14.574260556704814,0.4734217661534739,0.9999999999999999,IBS_N
Heater Dutycycle,230,0.2930202440361341,0.009518298435147031,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,230,2.841286545460152,0.09229469236303924,0.9999999999999999,IBS_N
2.5V_PCU_ELB,240,0.0053380324248696,4.385535053847842e-05,0.9999999999999999,IBS_N
Radial Distance from Sun,240,0.2387500921986949,0.0019614847103000847,0.9999999999999999,IBS_N
Electronic Box Temperature,240,0.6684751476626936,0.005491950890074389,0.9999999999999999,IBS_N
Outboard Sensor Temperature,240,0.3591209461384229,0.0029504082637705777,0.9999999999999999,IBS_N
Inboard Sensor Temperature,240,1.1337074380727648,0.009314131715109612,0.9999999999999999,IBS_N
Solar Array's Angle,240,109.28270326548878,0.8978273037780595,0.9999999999999999,IBS_N
High Gain Antenna Azimuth,240,3.368205476840721,0.02767196227289329,0.9999999999999999,IBS_N
High Gain Antenna Elevation,240,5.463273336317081,0.04488428472922979,0.9999999999999999,IBS_N
Heater Dutycycle,240,0.5706818779551058,0.004688516631535768,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,240,0.628813082658818,0.005166101658488394,0.9999999999999999,IBS_N
2.5V_PCU_ELB,10,0.2644565207125722,0.00627338436244192,1.0000000000000002,IBS_R
Radial Distance from Sun,10,0.2649006989797552,0.006283921069905114,1.0000000000000002,IBS_R
Electronic Box Temperature,10,1.1364884691832442,0.026959550747544792,1.0000000000000002,IBS_R
Outboard Sensor Temperature,10,0.6333551008031354,0.01502432223847346,1.0000000000000002,IBS_R
Inboard Sensor Temperature,10,1.1178772208916754,0.02651805846108781,1.0000000000000002,IBS_R
Solar Array's Angle,10,14.764767225993628,0.35024683672411344,1.0000000000000002,IBS_R
High Gain Antenna Azimuth,10,16.115016889158667,0.3822771874958323,1.0000000000000002,IBS_R
High Gain Antenna Elevation,10,5.218638946605717,0.12379550283976151,1.0000000000000002,IBS_R
Heater Dutycycle,10,0.1093181549140873,0.002593223270582173,1.0000000000000002,IBS_R
Outboard Sensor minus Inboard Sensor Temp.,10,2.530500044416544,0.0600280127902577,1.0000000000000002,IBS_R
2.5V_PCU_ELB,20,0.1538484961691741,0.004725222979811634,1.0,IBS_R
Radial Distance from Sun,20,0.2555350601355898,0.007848371406714925,1.0,IBS_R
Electronic Box Temperature,20,0.4709791560856429,0.014465409716458962,1.0,IBS_R
Outboard Sensor Temperature,20,0.3683419650111079,0.011313064221216583,1.0,IBS_R
Inboard Sensor Temperature,20,1.6082251428226368,0.04939419357872795,1.0,IBS_R
Solar Array's Angle,20,18.161381216389024,0.5577992505980404,1.0,IBS_R
High Gain Antenna Azimuth,20,8.733216415810919,0.2682274830316236,1.0,IBS_R
High Gain Antenna Elevation,20,1.5305425512606927,0.047008290720267853,1.0,IBS_R
Heater Dutycycle,20,0.1382466939799146,0.0042460373129585855,1.0,IBS_R
Outboard Sensor minus Inboard Sensor Temp.,20,1.1386750846251308,0.03497267643417947,1.0,IBS_R
2.5V_PCU_ELB,30,0.9829948078659444,0.019135401026787555,1.0000000000000002,IBS_R
Radial Distance from Sun,30,0.3613493847020144,0.007034183020831325,1.0000000000000002,IBS_R
Electronic Box Temperature,30,0.413103721135665,0.00804165526240215,1.0000000000000002,IBS_R
Outboard Sensor Temperature,30,0.5133577685410995,0.009993243802148721,1.0000000000000002,IBS_R
Inboard Sensor Temperature,30,1.8161459003064464,0.0353538796415081,1.0000000000000002,IBS_R
Solar Array's Angle,30,37.6473338042505,0.732859242153711,1.0000000000000002,IBS_R
High Gain Antenna Azimuth,30,5.475513021988242,0.1065886988056515,1.0000000000000002,IBS_R
High Gain Antenna Elevation,30,1.0278434245908294,0.020008443549148873,1.0000000000000002,IBS_R
Heater Dutycycle,30,0.1391677795186783,0.0027091000377497724,1.0000000000000002,IBS_R
Outboard Sensor minus Inboard Sensor Temp.,30,2.9936741564166733,0.058276152700061076,1.0000000000000002,IBS_R
2.5V_PCU_ELB,40,0.2044634610841359,0.007392003841191385,1.0,IBS_R
Radial Distance from Sun,40,0.3996773708983432,0.014449607011700227,1.0,IBS_R
Electronic Box Temperature,40,0.1276402295881856,0.004614599901633107,1.0,IBS_R
Outboard Sensor Temperature,40,0.2377094461144824,0.008593951845717169,1.0,IBS_R
Inboard Sensor Temperature,40,2.730812902849612,0.09872756413495708,1.0,IBS_R
Solar Array's Angle,40,2.18913649641494,0.07914424075865864,1.0,IBS_R
High Gain Antenna Azimuth,40,14.16461352060291,0.5120957896247412,1.0,IBS_R
High Gain Antenna Elevation,40,4.963285215765609,0.17943853236823848,1.0,IBS_R
Heater Dutycycle,40,0.1984034267427126,0.007172914342793823,1.0,IBS_R
Outboard Sensor minus Inboard Sensor Temp.,40,2.4443438114937663,0.08837079617036882,1.0,IBS_R
2.5V_PCU_ELB,50,0.0052507495091375,0.0001845468602389988,1.0,IBS_R
Radial Distance from Sun,50,0.4177017721578639,0.014680866118989873,1.0,IBS_R
